user_id,time,upload_time,title,description,tag,longitute,latitute,url
66430340@N07,2013-08-01 17:25:17.0,1375392317,aywc04+EVENT+MAIL,alarm+mail.,"6th+avenue,atlantic+avenue,atlantic+yards,barclays+center+arena,brooklyn,forest+city+ratner,new+york,prospect+heights",-73.97375,40.683166,http://farm8.staticflickr.com/7283/9419021608_4d4e7d053b.jpg
66430340@N07,2013-08-01 19:04:00.0,1375398240,aywc04+EVENT+MAIL,alarm+mail.,"6th+avenue,atlantic+avenue,atlantic+yards,barclays+center+arena,brooklyn,forest+city+ratner,new+york,prospect+heights",-73.97375,40.683166,http://farm4.staticflickr.com/3726/9419494260_d77983b400.jpg
66430340@N07,2013-08-01 23:25:07.0,1375413907,Barclays+Center+Arena+-+20130801_2320,Barclays+Center+Arena%0AAtlantic+Yards%0A6th+and+Atlantic+Avenues%0AProspect+Heights%0ABrooklyn%2C+New+York,"6th+avenue,atlantic+avenue,atlantic+yards,barclays+center+arena,brooklyn,forest+city+ratner,new+york,prospect+heights",-73.97375,40.683166,http://farm6.staticflickr.com/5343/9420624550_2ef7605046.jpg
66430340@N07,2013-08-01 23:55:07.0,1375415707,Barclays+Center+Arena+-+20130801_2350,Barclays+Center+Arena%0AAtlantic+Yards%0A6th+and+Atlantic+Avenues%0AProspect+Heights%0ABrooklyn%2C+New+York,"6th+avenue,atlantic+avenue,atlantic+yards,barclays+center+arena,brooklyn,forest+city+ratner,new+york,prospect+heights",-73.97375,40.683166,http://farm8.staticflickr.com/7406/9420757546_45199ef14d.jpg
66430340@N07,2013-08-02 05:15:07.0,1375434907,Barclays+Center+Arena+-+20130802_0510,Barclays+Center+Arena%0AAtlantic+Yards%0A6th+and+Atlantic+Avenues%0AProspect+Heights%0ABrooklyn%2C+New+York,"6th+avenue,atlantic+avenue,atlantic+yards,barclays+center+arena,brooklyn,forest+city+ratner,new+york,prospect+heights",-73.97375,40.683166,http://farm8.staticflickr.com/7351/9422026706_7bc3bc92e4.jpg
66430340@N07,2013-08-02 08:20:07.0,1375446007,Barclays+Center+Arena+-+20130802_0815,Barclays+Center+Arena%0AAtlantic+Yards%0A6th+and+Atlantic+Avenues%0AProspect+Heights%0ABrooklyn%2C+New+York,"6th+avenue,atlantic+avenue,atlantic+yards,barclays+center+arena,brooklyn,forest+city+ratner,new+york,prospect+heights",-73.97375,40.683166,http://farm3.staticflickr.com/2867/9420060461_e31fcf642a.jpg
66430340@N07,2013-08-02 10:05:08.0,1375452308,Barclays+Center+Arena+-+20130802_1000,Barclays+Center+Arena%0AAtlantic+Yards%0A6th+and+Atlantic+Avenues%0AProspect+Heights%0ABrooklyn%2C+New+York,"6th+avenue,atlantic+avenue,atlantic+yards,barclays+center+arena,brooklyn,forest+city+ratner,new+york,prospect+heights",-73.97375,40.683166,http://farm3.staticflickr.com/2851/9420595471_f55ce90837.jpg
66430340@N07,2013-08-02 10:20:07.0,1375453207,Barclays+Center+Arena+-+20130802_1015,Barclays+Center+Arena%0AAtlantic+Yards%0A6th+and+Atlantic+Avenues%0AProspect+Heights%0ABrooklyn%2C+New+York,"6th+avenue,atlantic+avenue,atlantic+yards,barclays+center+arena,brooklyn,forest+city+ratner,new+york,prospect+heights",-73.97375,40.683166,http://farm8.staticflickr.com/7422/9423449434_d2948ab44a.jpg
66430340@N07,2013-08-02 11:15:07.0,1375456507,Barclays+Center+Arena+-+20130802_1110,Barclays+Center+Arena%0AAtlantic+Yards%0A6th+and+Atlantic+Avenues%0AProspect+Heights%0ABrooklyn%2C+New+York,"6th+avenue,atlantic+avenue,atlantic+yards,barclays+center+arena,brooklyn,forest+city+ratner,new+york,prospect+heights",-73.97375,40.683166,http://farm8.staticflickr.com/7357/9423749422_83ba23f90a.jpg
66430340@N07,2013-08-02 13:15:07.0,1375463707,Barclays+Center+Arena+-+20130802_1310,Barclays+Center+Arena%0AAtlantic+Yards%0A6th+and+Atlantic+Avenues%0AProspect+Heights%0ABrooklyn%2C+New+York,"6th+avenue,atlantic+avenue,atlantic+yards,barclays+center+arena,brooklyn,forest+city+ratner,new+york,prospect+heights",-73.97375,40.683166,http://farm4.staticflickr.com/3770/9421646765_e32e9c4d0e.jpg
